Dropout Rates,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
"(0.1, 0.3, 0.1)",0.9906073527716953,0.9975900224322226,0.9958354993474784,0.990519121710048,0.9814735519968029,0.9999127526537734,0.0343523770570755,0.034948598593473434
"(0.1, 0.3, 0.2)",0.9906507051586787,0.9976859978962271,0.9974897596010395,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03412751480937004,0.03476174920797348
"(0.1, 0.3, 0.3)",0.9905936244075999,0.9975658781215344,0.9962426207480517,0.9905045804856769,0.9813905696997374,0.9999709175512578,0.034476302564144135,0.03488842397928238
"(0.1, 0.3, 0.4)",0.9905785409703816,0.9976607828168866,0.9974610835924077,0.9904900392613059,0.9814450058519597,0.9998836702050312,0.03461058437824249,0.03502742201089859
"(0.1, 0.3, 0.5)",0.9906507051586787,0.9976573319984813,0.9974570538241656,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.034740373492240906,0.03460819274187088
"(0.1, 0.4, 0.0)",0.9906073527716953,0.9976068371369549,0.9959002278536319,0.990519121710048,0.9814735519968029,0.9999127526537734,0.03454340249300003,0.034997474402189255
"(0.1, 0.4, 0.1)",0.9906070821448123,0.9976154011717009,0.9963162958409143,0.990519121710048,0.9815010419937766,0.9998836702050312,0.034667108207941055,0.03485353663563728
"(0.1, 0.4, 0.2)",0.9906507051586787,0.997559174822203,0.997344690552499,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.034308671951293945,0.03536120429635048
"(0.1, 0.4, 0.3)",0.9906221639608753,0.997648459250814,0.9965201809765883,0.990533662934419,0.9814465947365416,0.9999709175512578,0.03474607691168785,0.03528699651360512
"(0.1, 0.4, 0.4)",0.9905785409703816,0.9976666246802997,0.9974685595089865,0.9904900392613059,0.9814450058519597,0.9998836702050312,0.03507291153073311,0.035145003348588943
"(0.1, 0.4, 0.5)",0.9906792480011526,0.9974875546931988,0.9972634708506327,0.9905918278319035,0.9815586640022838,0.9999709175512578,0.034434087574481964,0.03558320179581642
"(0.1, 0.5, 0.0)",0.9905793552476161,0.9976081730604036,0.996583421264925,0.9904900392613059,0.9813625595798727,0.9999709175512578,0.03456699475646019,0.035661984235048294
"(0.1, 0.5, 0.1)",0.9905354596136393,0.9976573463768912,0.9974582175915817,0.9904464155881926,0.9813884448504224,0.9998545877562891,0.035249222069978714,0.036295853555202484
"(0.1, 0.5, 0.2)",0.9905933534046875,0.9975994166087001,0.9958279184796055,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.034840431064367294,0.03572738543152809
"(0.1, 0.5, 0.3)",0.9906649763743229,0.9975894126184799,0.9956153130879437,0.9905772866075323,0.9815306442864891,0.9999709175512578,0.03436404466629028,0.0352945476770401
"(0.1, 0.5, 0.4)",0.99063589477627,0.9976088099393889,0.9958924287087769,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.03440844267606735,0.036214154213666916
"(0.1, 0.5, 0.5)",0.9906932518872817,0.9975763058519558,0.9965499342615891,0.9906063690562745,0.9816141833442773,0.9999418351025157,0.03432860225439072,0.03532823920249939
"(0.2, 0.0, 0.0)",0.9906218937724188,0.9976684896446585,0.997470173786737,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03477092459797859,0.03557340055704117
"(0.2, 0.0, 0.1)",0.9906218937724188,0.9976718863325791,0.9974744521610994,0.990533662934419,0.9814740808403745,0.9999418351025157,0.035469669848680496,0.03481654077768326
"(0.2, 0.0, 0.2)",0.9905788124117664,0.9975356310215802,0.9966958628241116,0.9904900392613059,0.9814175206234123,0.9999127526537734,0.034855522215366364,0.034913573414087296
"(0.2, 0.0, 0.3)",0.9906792480011526,0.9976630791335459,0.9966651913778114,0.9905918278319035,0.9815586640022838,0.9999709175512578,0.03447462245821953,0.034714970737695694
"(0.2, 0.0, 0.4)",0.9906507051586787,0.9976674138012734,0.9974696074145909,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.034472957253456116,0.035096123814582825
"(0.2, 0.0, 0.5)",0.9906218937724188,0.997661697960395,0.9974631062143876,0.990533662934419,0.9814740808403745,0.9999418351025157,0.034712471067905426,0.03505867347121239
"(0.2, 0.1, 0.0)",0.9905790838375108,0.9976619635380861,0.9974625063869256,0.9904900392613059,0.9813900385328956,0.9999418351025157,0.03470122814178467,0.03523554652929306
"(0.2, 0.1, 0.1)",0.9905779980406845,0.9976583008495801,0.9974599549773725,0.9904900392613059,0.9814999857252976,0.9998255053075469,0.03442007675766945,0.03519786149263382
"(0.2, 0.1, 0.2)",0.9906649763743229,0.9976381114474367,0.997400227379245,0.9905772866075323,0.9815306442864891,0.9999709175512578,0.034527551382780075,0.03459581732749939
"(0.2, 0.1, 0.3)",0.9906218937724188,0.9975086926475093,0.9972872086381932,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03502751886844635,0.035152386873960495
"(0.2, 0.1, 0.4)",0.9906509745170631,0.9975844038570592,0.9957299922650514,0.9905627453831612,0.981475138436947,1.0,0.034635066986083984,0.034942351281642914
"(0.2, 0.1, 0.5)",0.9906218937724188,0.9976431489656775,0.9964612427449901,0.990533662934419,0.9814740808403745,0.9999418351025157,0.0342022180557251,0.03497472405433655
"(0.2, 0.2, 0.0)",0.9906216235683929,0.9976455662301389,0.9974410594032722,0.990533662934419,0.9815015700827862,0.9999127526537734,0.0342622846364975,0.034793492406606674
"(0.2, 0.2, 0.1)",0.99063589477627,0.997665788195152,0.996600052907206,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.03482527658343315,0.034939736127853394
"(0.2, 0.2, 0.2)",0.9905793552476161,0.9975412102675635,0.9973254667998264,0.9904900392613059,0.9813625595798727,0.9999709175512578,0.03467393293976784,0.035222843289375305
"(0.2, 0.2, 0.3)",0.99052228271829,0.9975967845138772,0.9957273447752562,0.9904318743638214,0.981250535087469,0.9999709175512578,0.03464078903198242,0.03495858982205391
"(0.2, 0.2, 0.4)",0.9906218937724188,0.9976176403976147,0.9961801558446791,0.990533662934419,0.9814740808403745,0.9999418351025157,0.034440312534570694,0.03487519547343254
